,From,TimeStamp,To,TxHash,Value
0,0x6c5f5438b90199c0af169abd7aac5e0bad657f55,1512664406,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xce4f590bae01e15ab7b74d20e5a479b07f44da51255617fc1365dacf938a8cea,5.002
1,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512670990,0x51db5ad35c671a87207d88fc11d593ac0c8415bd,0x53aeed3510ab208ecf1c5fc71fae89f0c892500f1988052a3247935f565ce344,0.0
2,0x01dbfec0f55084632819b316d4bb3409cb7c5b0c,1512691300,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x377d8f9e63536bff6c9d4c8ea3784468914763f394abb55466e0a2228fe35683,10.0
3,0x27bebc44c6f60f99d558422288d616ee15dcb36d,1512697216,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xfed05a0024f37d1a5143076e6cf477c459f226d182d134e1f3de569e3033f6a5,3.22449692
4,0xc7ab734bcaf3e186ca69cfcdca594869d9f3af90,1512708971,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x1d66310742feb23823cb5418a639b2598b5cf8f38d873239b5e542c08a49005a,6.0
5,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512710018,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x8f237c8936d51cd2e4fe3438f84b7cc2eb58bc6f93448e3a2dfbed02d91afd78,5.0
6,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512710605,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0x76a934b7b4d11123eced654e61df55ff8d4368ef6bb12f43c961af43489e14db,0.0
7,0xe14c612e353fe246dffdb43d1f18d52c8249766e,1512711098,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x997e5415b9a63ffbe8a5caf4560a6be9ffe1292f8e1186f1179a8cdaaea42908,16.0
8,0x4bc5cb4ab4442a6f2ea23822b7477cb0a025ca4e,1512716955,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xc24a33a923229fd1d1994ee3fa3b8da187c9d3ef6a9f518b336d1ed2d0857baa,21.0
9,0xafba1b04ec9dcbdeaa8601d8ae8f44edc77da224,1512719120,0xa60101448da1b73a613709dd6660b1da412ca063,0xf396eef08fd7ea4a4cc5b88732611c240237651bd7cb7652a9fb2ed09a824fe0,5.0
10,0xafba1b04ec9dcbdeaa8601d8ae8f44edc77da224,1512720418,0x4be2166a8dbe25e79a9b30b4ce26858e10d21e92,0xf4c04b660f90ae0e01d281f98723d0ecd97011c7368ba4e15162d2ed3dfd0949,2.0
11,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512728262,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0xcb2ce90b73dbe7e833d685fec246029526d8e434faa6f5a4253bea6f0d46a918,0.0
12,0x80b4c9c8ffd97fb2e04e474abc14ba409a74e127,1512740915,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x31201c73849661d433a32eee0b30af641c711e380f9d93c02537b2d8df851e1c,226.82
13,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512741593,0xafba1b04ec9dcbdeaa8601d8ae8f44edc77da224,0xabb683729c3df75ddbb6a881e07965788105228df646a25ffbb172f0a03ad12e,4.0
14,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512742940,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0x61b7a58abdff8d928c7547f7b159eec58182404d4b6935e3caf4a3fc25610294,0.0
15,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512743907,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x543aab2c8a49b102e3b0326e0d64b205c2975c8b8208a59b1d1b8cd1117fbd2d,150.0
16,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512744085,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x17a9a655c7cd14be72bc3848e4930916627db23285600e49ea29433ef17b4791,367.78
17,0xe14c612e353fe246dffdb43d1f18d52c8249766e,1512748422,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x6ecfc2902a50928f2c761eb2901a7395318d067ccd470bf9d837dfcf612f874d,31.0
18,0xe14c612e353fe246dffdb43d1f18d52c8249766e,1512748673,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xffd6403de78c52908fea42351a48fe1376bf3b3dc82c2347d84a6267c0e55e2b,20.0
19,0xdc82b6082b3cb8090143bb7906534621600ff63d,1512750119,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xba3fd1008dd81f7a10b7e5d00839a8b88b6986cb4d643f65146eacb3bac80374,421.0
20,0x4d99b38f6f9d0353869cba6842ff2c7a6227fea6,1512752450,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x827fc55c2bce6c53faec6fb307c60ba3f4c05d36e7c59f265b12f0f0a65efd40,10.0
21,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,1512782504,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x2f0cb2d2f95c2cdeb49ae4acf95064b16565d76c48080bd0158f9d01f4df66d7,288.0
22,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,1512782513,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x9573e1b02020faa8c80143f32cfcce8da29f8c3ae6a09278e448de35bebe77e2,253.0
23,0x27bebc44c6f60f99d558422288d616ee15dcb36d,1512785154,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x15aa0019b3b14e24940c56e5a9ed9d8a63eafd0eb1834a1a52a207443736af22,2.64370453
24,0x80b4c9c8ffd97fb2e04e474abc14ba409a74e127,1512786880,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x4d427e4bff5a6be9aa922623e58954cdbfb2b3d022105a82e49d9963b6dc89fa,154.0
25,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512788433,0xf7c1e77f360e051790295f778627d61c734375db,0xa48626573f7ff5b0a003fa3b59ba915aea1fe713b6d13a1ff50cc16b33d656d2,20.0
